municipio_cod;lon;lat;alt
2100154;-42,11560; -2,8403000;  10,4369
2100204;-44,41700; -2,4033000;  29,7195
2100303;-43,46870; -4,6308000;  80,4872
2100402;-45,46470; -4,1623000;  55,1921
2100436;-44,44820; -4,2072000;  56,9665
2100477;-45,84210; -3,6652000;  17,5993
2100501;-45,92730; -9,1084000; 275,6981
2100550;-46,00920; -1,6809000;  59,4369
2100600;-46,75060; -5,5577000; 250,7630
2100709;-44,62070; -3,2576000;   6,9060
2100808;-43,10580; -3,6670000;  94,5036
2100832;-45,07670; -1,5306000;  10,5788
2100873;-45,66880; -2,9491000;  19,1240
2100907;-41,89910; -2,8893000;   0,1042
2100956;-46,01360; -4,8861000; 128,6437
2101004;-44,77880; -3,4592000;   7,7995
2101103;-44,05460; -2,8378000;  17,6721
2101202;-44,78160; -4,2315000;  25,1846
2101251;-44,31540; -2,9858000;  37,5014
2101301;-45,13730; -1,7240000;  23,8442
2101350;-44,73570; -2,7109000;   4,9581
2101400;-46,03900; -7,5312000; 255,9105
2101509;-43,02650; -6,7590000; 110,3608
2101608;-45,23900; -5,5083000; 152,5227
2101707;-42,82780; -2,7501000;   5,0377
2101731;-43,51010; -3,1568000;  64,5624
2101772;-45,24820; -3,7377000;  37,2512
2101806;-44,55990; -7,2188000; 218,9978
2101905;-44,78570; -2,4621000;   3,1880
2101939;-44,76430; -4,6303000;  52,2150
2101970;-46,29870; -1,7933000;  18,4052
2102002;-45,60190; -3,5442000;  39,1716
2102036;-46,85320; -4,4900000; 207,1418
2102077;-45,03110; -4,3755000;  40,9849
2102101;-42,75080; -3,6792000;  53,0173
2102150;-45,58210; -4,3306000;  85,2887
2102200;-42,92510; -3,9456000;  54,8249
2102309;-43,83560; -5,8353000; 219,2048
2102325;-46,45150; -4,3259000; 172,7524
2102358;-47,01720; -5,5889000; 230,4606
2102374;-44,05970; -2,9319000;   8,5989
2102408;-44,67340; -2,8829000;   4,6506
2102507;-45,00800; -3,3239000;   5,4749
2102556;-47,36760; -6,1647000; 165,5935
2102606;-45,73730; -1,4539000;  14,2409
2102705;-44,38180; -3,6284000;  23,0757
2102754;-44,33040; -4,7212000; 127,0338
2102804;-47,47010; -7,3308000; 179,7633
2102903;-46,02320; -1,2006000;   8,8860
2103000;-43,35850; -4,8617000;  77,4618
2103109;-44,53080; -1,9979000;  19,6566
2103125;-44,83180; -2,1913000;  34,5193
2103158;-46,04000; -2,4570000;  50,3296
2103174;-46,12840; -2,1443000;  86,0604
2103208;-43,36110; -3,7400000; 105,7045
2103257;-47,78420; -5,1774000; 177,8116
2103307;-43,88610; -4,4513000;  44,2657
